DATE,ROI,HUSHEN,INDEX,NETWORTH,,,,
2020年8月6日,0.00%,0.00%,4762.76,1,,,,
2020年8月7日,0.00%,-1.15%,4707.93,1,,,,
2020年8月14日,-0.02%,-1.22%,4704.63 ,0.9998,,,,
2020年8月21日,-2.00%,-0.92%,4718.84,0.98,,,,
2020年8月28日,-0.48%,1.71%,4844.27,0.9952,,,,
2020年9月4日,6.74%,0.16%,4770.22,1.0674 ,,,,
2020年9月11日,3.44%,-2.84%,4627.28,1.0344,,,,
2020年9月18日,16.77%,-0.54%,4737.09,1.1677,,,,
2020年9月25日,17.85%,-4.05%,4570.02,1.1785,,,,
10月9日2020年,20.54%,-1.71%,4681.14,1.2054,,,,
10月16日2020年,28.36%,0.61%,4791.68,1.2836 ,,,,
10月23日2020年,24.67%,-0.93%,4718.49,1.2467,,,,
10月30日2020年,22.74%,-1.42%,4695.33,1.2274,,,,
11月6日2020年,29.09%,2.58%,4885.72,1.2909,,,,
11月13日2020年,27.74%,1.98%,4856.85,1.2774,,,,
11月20日2020年,32.71%,3.79%,4943.29,1.3271,,,,
11月27日2020年,25.14%,4.58%,4980.77,1.2514,,,,
12月4日2020年,29.37%,6.37%,5065.92,1.2937,,,,
12月11日2020年,36.43%,2.66%,4889.63,1.3643,,,,
12月18日2020年,37.09%,4.98%,4999.97,1.3709,,,,
12月25日2020年,48.66%,5.86%,5042.01,1.4866,,,,
12月31日2020年,38.97%,9.42%,5211.29,1.3897,,,,
1月8日2021年,31.29%,15.38%,5495.43,1.3129,,,,
1月15日2021年,33.99%,14.60%,5458.08,1.3399,,,,
1月22日2021年,51.16%,16.94%,5569.78,1.5116,,,,
1月29日2021年,47.60%,12.37%,5351.97,1.476,,,,
2月5日2021年,42.78%,15.13%,5483.41,1.4278,,,,
2月10日2021年,46.66%,21.94%,5807.72,1.4666,,,,
2月19日2021年,52.65%,21.33%,5778.84,1.5265,,,,
2月26日2021年,41.94%,12.05%,5336.76,1.4194,,,,
3月5日2021年,39.11%,10.50%,5262.8,1.3911,,,,
3月12日2021年,30.89%,8.05%,5146.38,1.3089,,,,
3月19日2021年,33.30%,5.13%,5007.09,1.3330 ,,,,
3月26日2021年,33.43%,5.78%,5037.99,1.3343,,,,
4月2日2021年,34.88%,8.37%,5161.56,1.3488,,,,
4月9日2021年,34.36%,5.72%,5035.34,1.3436,,,,
4月16日2021年,31.04%,4.27%,4966.18,1.3104,,,,
4月23日2021年,32.25%,7.83%,5135.45,1.3225,,,,
4月30日2021年,31.43%,7.57%,5123.49,1.3143,,,,
5月7日2021年,32.12%,4.90%,4996.05,1.3212,,,,
5月14日2021年,27.53%,7.30%,5110.59,1.2753,,,,
5月21日2021年,28.52%,7.80%,5134.15,1.2852,,,,
5月28日2021年,30.95%,11.72%,5321.09,1.3095,,,,
6月4日2021年,34.76%,10.91%,5282.28,1.3476,,,,
6月11日2021年,40.42%,9.70%,5224.70 ,1.4042,,,,
6月18日2021年,42.53%,7.13%,5102.47,1.4253,,,,
6月25日2021年,47.24%,10.02%,5239.97,1.4724,,,,
7月2日2021年,44.07%,6.68%,5081.12,1.4407,,,,
7月9日2021年,45.00%,6.44%,5069.44,1.4500 ,,,,
7月16日2021年,45.99%,6.97%,5094.77,1.4599,,,,
7月23日2021年,47.77%,6.85%,5089.23,1.4777,,,,
7月30日2021年,59.23%,1.02%,4811.17,1.5923,,,,
8月6日2021年,55.80%,3.33%,4921.56,1.558,,,,
