DATE,ROI,HUSHEN,INDEX,NETWORTH,,,,
2020年7月10日,0.00%,0.00%,4753.13,1,,,,
2020年7月17日,-0.02%,-4.39%,4544.7,0.9998,,,,
2020年7月24日,-1.92%,-5.21%,4505.59,0.9808,,,,
2020年7月31日,13.87%,-1.22%,4695.05,1.1387,,,,
2020年8月7日,28.61%,-0.95%,4707.93,1.2861,,,,
2020年8月14日,26.06%,-1.02%,4704.63,1.2606,,,,
2020年8月21日,24.13%,-0.72%,4718.84,1.2413,,,,
2020年8月28日,22.49%,1.92%,4844.27,1.2249,,,,
2020年9月4日,27.00%,0.36%,4770.22,1.2700,,,,
2020年9月11日,22.62%,-2.65%,4627.28,1.2262,,,,
2020年9月18日,44.52%,-0.34%,4737.09,1.4452,,,,
2020年9月25日,45.61%,-3.85%,4570.02,1.4561,,,,
10/9/20,49.97%,-1.51%,4681.14,1.4997,,,,
10/16/20,62.19%,0.81%,4791.68,1.6219,,,,
10/23/20,55.96%,-0.73%,4718.49,1.5596,,,,
10/30/20,52.71%,-1.22%,4695.33,1.5271,,,,
11/6/20,60.20%,2.79%,4885.72,1.602,,,,
11/13/20,60.94%,2.18%,4856.85,1.6094,,,,
11/20/20,62.81%,4.00%,4943.29,1.6281,,,,
11/27/20,53.03%,4.79%,4980.77,1.5303,,,,
12/4/20,58.37%,6.58%,5065.92,1.5837,,,,
12/11/20,61.82%,2.87%,4889.63,1.6182,,,,
12/18/20,64.61%,5.19%,4999.97,1.6461,,,,
12/25/20,74.89%,6.08%,5042.01,1.7489,,,,
12/31/20,64.28%,9.64%,5211.29,1.6428,,,,
1/8/21,55.26%,15.62%,5495.43,1.5526,,,,
1/15/21,52.20%,14.83%,5458.08,1.522,,,,
1/22/21,65.82%,17.18%,5569.78,1.6582,,,,
1/29/21,62.19%,12.60%,5351.97,1.6219,,,,
2/5/21,50.99%,15.36%,5483.41,1.5099,,,,
2/10/21,54.94%,22.19%,5807.72,1.5494,,,,
2/19/21,59.81%,21.58%,5778.84,1.5981,,,,
2/26/21,49.91%,12.28%,5336.76,1.4991,,,,
3/5/21,48.81%,10.72%,5262.8,1.4881,,,,
