DATE,ROI,HUSHEN,INDEX,NETWORTH,,,,
2020年3月24日,0.00%,0.00%,3625.11,,,,,
2020年3月27日,0.00%,2.34%,3710.06,,,,,
2020年4月3日,-0.10%,2.43%,3713.22,,,,,
2020年4月10日,-0.10%,3.97%,3769.18,,,,,
2020年4月17日,-0.20%,5.91%,3839.49,,,,,
2020年4月24日,-0.20%,4.74%,3796.97,,,,,
2020年5月1日,-0.20%,7.93%,3912.58,,,,,
2020年5月8日,-0.30%,9.34%,3963.62,,,,,
2020年5月15日,-1.60%,7.94%,3912.81,,,,,
2020年5月22日,-0.10%,5.49%,3824.06,,,,,
2020年5月29日,0.80%,6.67%,3867.02,,,,,
2020年6月5日,4.50%,10.38%,4001.25,,,,,
2020年6月12日,5.50%,10.43%,4003.08,,,,,
2020年6月19日,13.20%,13.06%,4098.71,,,,,
2020年6月26日,18.30%,14.18%,4138.99,,,,,
2020年7月3日,17.10%,21.92%,4419.60,,,,,
2020年7月10日,21.80%,31.12%,4753.13,,,,,
2020年7月17日,14.20%,25.37%,4544.7,,,,,
2020年7月24日,19.10%,24.29%,4505.59,,,,,
2020年7月31日,36.80%,29.51%,4695.05,,,,,
2020年8月7日,60.10%,29.87%,4707.93,,,,,
2020年8月14日,55.40%,29.78%,4704.63,,,,,
2020年8月21日,55.90%,30.17%,4718.84,,,,,
2020年8月28日,56.90%,33.63%,4844.27,,,,,
2020年9月4日,61.10%,31.59%,4770.22,,,,,
2020年9月11日,54.90%,27.65%,4627.28,,,,,
2020年9月18日,72.30%,30.67%,4737.09,,,,,
2020年9月25日,75.30%,26.07%,4570.02,,,,,
10/9/20,79.50%,29.13%,4681.14,,,,,
10/16/20,96.30%,32.18%,4791.68,,,,,
10/23/20,85.30%,30.16%,4718.49,1.853,,,,
10/30/20,76.80%,29.52%,4695.33,1.768,,,,
11/6/20,73.70%,34.77%,4885.72,1.737,,,,
11/13/20,71.70%,33.98%,4856.85,1.717,,,,
11/20/20,81.90%,36.36%,4943.29,1.819,,,,
11/27/20,78.30%,37.40%,4980.77,1.783,,,,
12/4/20,83.60%,39.75%,5065.92,1.836,,,,
12/11/20,84.60%,34.88%,4889.63,1.846,,,,
12/18/20,93.40%,37.93%,4999.97,1.934,,,,
12/25/20,107.40%,39.09%,5042.01,2.074,,,,
12/31/20,93.00%,43.76%,5211.29,1.930,,,,
1/8/21,86.00%,51.59%,5495.43,1.860,,,,
1/15/21,79.20%,50.56%,5458.08,1.792,,,,
1/22/21,94.70%,53.64%,5569.78,1.947,,,,
1/29/21,82.60%,47.64%,5351.97,1.826,,,,
2/5/21,72.40%,51.26%,5483.41,1.724,,,,
2/10/21,81.80%,60.21%,5807.72,1.818,,,,
2/19/21,93.60%,59.41%,5778.84,1.936,,,,
2/26/21,78.40%,47.22%,5336.76,1.784,,,,
3/5/21,74.80%,45.18%,5262.8,1.748,,,,
3/12/21,66.70%,41.96%,5146.38,1.667,,,,
3/19/21,65.20%,38.12%,5007.09,1.652,,,,
3/26/21,68.20%,38.97%,5037.99,1.682,,,,
4/2/21,63.80%,42.38%,5161.56,1.638,,,,
4/9/21,60.80%,38.90%,5035.34,1.608,,,,
4/16/21,57.80%,36.99%,4966.18,1.578,,,,
4/23/21,57.60%,41.66%,5135.45,1.576,,,,
4/30/21,60.60%,41.33%,5123.49,1.606,,,,
5/7/21,61.80%,37.82%,4996.05,1.618,,,,
5/14/21,51.30%,40.98%,5110.59,1.513,,,,
5/21/21,53.60%,41.63%,5134.15,1.536,,,,
5/28/21,55.50%,46.78%,5321.09,1.555,,,,
6/4/21,60.30%,45.71%,5282.28,1.603,,,,
6/11/21,69.90%,44.13%,5224.70,1.699,,,,
6/18/21,73.20%,40.75%,5102.47,1.732,,,,
6/25/21,79.60%,44.55%,5239.97,1.796,,,,
7/2/21,75.60%,40.16%,5081.12,1.756,,,,
7/9/21,79.40%,39.84%,5069.44,1.794,,,,
7/16/21,82.80%,40.54%,5094.77,1.828,,,,
7/23/21,86.30%,40.39%,5089.23,1.863,,,,
7/30/21,99.10%,32.72%,4811.17,1.991,,,,
8/6/21,95.10%,35.76%,4921.56,1.951,,,,
