DATE,ROI,HUSHEN,INDEX,NETWORTH,,,,
12月22日2020年,0.00%,0.00%,4964.77,1,,,,
12月25日2020年,0.00%,1.56%,5042.01,1,,,,
12月31日2020年,0.00%,4.97%,5211.29,1.000 ,,,,
1月8日2021年,-1.90%,10.69%,5495.43,0.981 ,,,,
1月15日2021年,-5.10%,9.94%,5458.08,0.949,,,,
1月22日2021年,3.20%,12.19%,5569.78,1.032,,,,
1月29日2021年,0.00%,7.80%,5351.97,1,,,,
2月5日2021年,-1.60%,10.45%,5483.41,0.984,,,,
2月10日2021年,0.40%,16.98%,5807.72,1.004,,,,
2月19日2021年,4.40%,16.40%,5778.84,1.044,,,,
2月26日2021年,-3.50%,7.49%,5336.76,0.965,,,,
3月5日2021年,-6.30%,6.00%,5262.8,0.937,,,,
3月12日2021年,-9.50%,3.66%,5146.38,0.905,,,,
3月19日2021年,-7.00%,0.85%,5007.09,0.930 ,,,,
3月26日2021年,-6.40%,1.47%,5037.99,0.936,,,,
4月2日2021年,-7.40%,3.96%,5161.56,0.926,,,,
4月9日2021年,-8.10%,1.42%,5035.34,0.919,,,,
4月16日2021年,-9.20%,0.03%,4966.18,0.908,,,,
4月23日2021年,-8.10%,3.44%,5135.45,0.919,,,,
4月30日2021年,-6.60%,3.20%,5123.49,0.934,,,,
5月7日2021年,-5.70%,0.63%,4996.05,0.943,,,,
5月14日2021年,-8.90%,2.94%,5110.59,0.911,,,,
5月21日2021年,-6.50%,3.41%,5134.15,0.935,,,,
5月28日2021年,-6.40%,7.18%,5321.09,0.936,,,,
6月4日2021年,-5.20%,6.40%,5282.28,0.948,,,,
6月11日2021年,-4.50%,5.24%,5224.70 ,0.955,,,,
6月18日2021年,-2.50%,2.77%,5102.47,0.975,,,,
6月25日2021年,2.10%,5.54%,5239.97,1.021,,,,
7月2日2021年,-0.60%,2.34%,5081.12,0.994,,,,
7月9日2021年,-0.90%,2.11%,5069.44,0.991,,,,
7月16日2021年,0.10%,2.62%,5094.77,1.001,,,,
7月23日2021年,0.40%,2.51%,5089.23,1.004,,,,
7月30日2021年,2.60%,-3.09%,4811.17,1.026,,,,
8月6日2021年,2.60%,-0.87%,4921.56,1.026,,,,
